c_uM,viab_perc
100,86.16188411
100,79.18321932
100,75.70010677
100,73.68487737
90,76.91919617
90,79.80520371
90,79.83008308
90,85.0215794
70,88.1895532
70,85.87991785
70,85.37403722
70,86.89167912
50,91.53582918
50,94.78258766
50,79.39469401
50,101.300984
30,100.1482396
30,92.79223763
30,95.27602861
30,88.63738195
10,93.48886014
10,89.48742728
10,102.2215209
10,100.2187312
9,93.62155015
9,95.0769936
9,95.39213236
9,89.86061791
7,92.29879669
7,99.93676492
7,103.1462043
7,103.8055078
5,93.84546452
5,90.99677605
5,84.03884408
5,95.19309736
3,87.97807851
3,100.1897052
3,95.64092611
3,97.47370676
1,92.26562419
1,87.22755068
1,86.85021349
1,89.37132353
0.9,89.64499665
0.9,90.34991229
0.9,99.24843554
0.9,104.3196815
