"","5FU_1","5FU_2","5FU_3","5FU_4","DMSO_1","DMSO_2","DMSO_3","DMSO_4"
"Label","5FU","5FU","5FU","5FU","DMSO","DMSO","DMSO","DMSO"
"C00003","13.16606","13.10836","12.67483","12.91492","13.47714","13.37250","13.51556","13.63241"
"C00005","6.977542","8.081611","7.270696","6.932261","7.620132","7.124667","7.615075","9.332948"
"C00008","11.00661","11.23355","11.18899","11.42399","11.40633","11.77997","11.18855","11.17235"
"C00015","9.825186","9.247658","9.137265","8.980073","8.999064","9.241861","9.293320","8.572356"
"C00016","10.34189","10.31682","10.33786","10.11035","10.64856","10.39508","10.54829","10.42796"
"C00019","11.90553","12.46826","12.00140","11.81323","12.92970","12.45033","12.94634","12.85013"
"C00020","10.86907","10.95698","10.75941","10.80696","11.23569","10.85784","10.98855","11.04058"
"C00029","13.45127","13.02944","13.26610","13.02047","13.36360","13.22952","13.45717","13.19806"
"C00043","13.34249","13.06387","13.17785","12.97369","13.57259","13.24502","13.70535","13.47217"
"C00051","11.489573","12.645909","12.438818","12.470564"," 8.565555","12.293956"," 8.426634","10.342784"
"C00052","12.41151","11.91809","12.03180","12.08028","12.09746","11.97013","12.21384","12.30404"
"C00055","11.14946","11.91142","11.28470","11.74504","11.77418","11.81430","11.30250","12.57817"
"C00061","8.338245","8.766967","8.560751","8.125185","8.724557","8.524160","8.719381","9.121858"
"C00062","11.47616","11.22339","11.24139","11.32205","11.20864","11.66856","11.30398","10.33940"
"C00082","13.24851","13.20046","13.36398","13.22711","13.09471","12.94220","13.13118","13.04783"
"C00103","11.37619","11.37117","11.68538","11.44971","12.00128","12.23785","10.89309","11.66643"
"C00105","13.14594","13.28570","13.17529","13.10157","13.30926","13.33438","13.68166","13.61977"
"C00120","13.74253","13.73287","13.75250","13.74791","14.06379","13.65292","13.88170","14.40073"
"C00127","16.69025","16.78706","16.70529","16.67465","17.20723","17.12120","16.96022","17.14756"
"C00144","13.94496","14.14996","14.21339","13.97625","13.46537","14.16080","13.58754","14.12879"
"C00147","9.350535","8.964821","9.218451","9.047039","9.458878","9.618931","9.556860","9.081936"
"C00157","11.52578","12.94588","11.55784","12.98851","12.42758","12.75951","12.17225","14.09223"
"C00167","12.47557","12.18119","12.25443","12.15969","12.53043","12.63950","12.86223","12.58433"
"C00170","14.57069","13.91634","13.93306","13.60685","13.77479","13.60194","13.77736","12.61597"
"C00199","8.312411","7.438010","7.385598","7.532185","8.256727","8.327441","8.329702","8.498639"
"C00242","12.50437","12.53976","12.28424","12.26945","11.84765","12.02837","12.10202","12.31791"
"C00262","15.92070","16.24462","15.95502","16.17533","16.99301","16.51890","16.68936","16.58323"
"C00294","16.74431","16.57507","16.62213","16.52068","17.44879","16.82648","17.09032","17.01337"
"C00299","14.33805","14.33168","14.46943","14.45162","14.84183","14.42536","14.63912","14.13524"
"C00319","12.94873","13.05278","13.02561","12.96986","13.53160","13.20424","13.48824","12.99341"
"C00325","9.202224","9.242424","9.272875","9.037712","9.378078","9.417864","9.696563","9.336112"
"C00350","11.72598","12.10769","11.41927","12.32170","11.95741","12.19563","12.61140","12.75230"
"C00360","10.703626"," 9.861369"," 9.924042"," 9.677642","10.156596"," 9.601834","10.258634"," 9.818058"
"C00362","11.73220","11.83876","11.69055","11.78902","11.40054","11.74266","12.62278","10.62990"
"C00364"," 6.365097"," 5.142335"," 9.371158"," 5.196600","12.226929","12.094113","12.380521","12.066570"
"C00365","12.085335","11.933764","11.709723","11.629064"," 8.991741"," 9.054199"," 8.852820","10.768971"
"C00378","13.24651","12.91894","12.90603","12.89192","13.16599","12.95618","13.18193","13.08183"
"C00380","7.902614","8.727532","8.253682","8.301213","9.324939","8.226017","8.442144","8.577121"
"C00387","13.12995","13.12438","13.09424","13.12704","13.96658","13.25462","13.49674","12.84489"
"C00463","10.48216","10.39664","10.49831","10.30352","10.89358","10.58715","10.64039","10.54754"
"C00487","13.32004","13.08388","13.17818","13.03632","13.20124","13.27606","13.24243","13.41815"
"C00491"," 9.774297"," 9.208548"," 9.801292"," 9.707514","10.214336"," 9.328283","10.483677","10.351623"
"C00550","12.50120","12.88947","12.87233","13.44857","12.33205","12.52797","12.90443","13.26611"
"C00588","18.11776","17.87789","17.94182","17.86711","18.38988","18.18691","18.50786","18.21050"
"C00612","13.64525","13.41721","13.54529","13.61849","13.77429","13.56350","13.70823","13.21017"
"C00670","17.67224","17.03073","17.23965","17.07357","17.78186","17.44594","17.65699","17.38069"
"C00836","11.80807","11.93778","11.85770","11.79603","12.38057","11.89198","12.20353","11.54146"
"C00864","13.01759","12.94495","13.16319","13.00285","12.79113","12.02177","12.75059","12.89361"
"C00946","13.74077","13.86741","13.89505","13.82536","13.48730","13.84151","12.98526","13.73398"
"C01586","11.46460","11.59227","11.56078","11.53872","12.05595","11.79990","11.85965","11.65181"
"C01657","8.551665","8.487703","8.608229","8.281501","8.569611","7.532348","8.661405","8.947858"
"C02301"," 9.926279"," 9.900551"," 9.896812"," 9.733515","10.420892","10.283964","10.255297","10.218085"
"C02305","14.52523","14.36266","14.40021","14.18767","15.34729","14.85405","15.55375","14.60304"
"C02494"," 9.183341"," 9.138519"," 9.131774"," 8.906664","10.061735"," 9.308268"," 9.152521"," 9.349821"
"C02567","12.29627","12.79827","12.51978","12.07636","12.56407","10.70051","12.32278","12.48815"
"C02571","13.01197","12.94877","12.75303","12.68777","13.72174","13.01792","13.45550","13.23526"
"C02862","14.22459","14.10233","13.99431","13.94642","14.92619","14.37565","14.70767","14.44799"
"C02990","10.85967","10.40084","10.68329","10.43271","11.47221","11.10505","11.39063","11.44120"
"C03017"," 9.633662"," 9.390989"," 9.713293"," 9.292713","10.497554"," 9.893531","10.060157"," 9.749634"
"C03546","10.407437"," 9.969789","10.162951","10.336157","10.530110","10.399058","10.677004","10.401853"
"C03742"," 8.673056","10.000058"," 7.977680"," 8.997945"," 9.577084"," 8.175606","10.037252","10.924440"
"C03794","11.94580","12.03280","12.04812","11.64249","11.15045","11.98778","11.65842","11.65626"
"C03889","10.588343","10.178837","10.437080","10.252172"," 8.349143"," 9.679856"," 8.192448","10.149420"
"C04100","10.89964","10.65104","10.68711","10.64154","10.97088","10.64847","11.01033","10.91737"
"C04230","10.21332","10.26919","10.22828","10.19440","10.31509","10.08162","10.55312","10.65222"
"C05282","10.65574","10.70867","10.64934","10.61620","10.84147","10.97307","11.20362","11.09014"
"C05382"," 9.760745"," 9.423089"," 9.442471"," 9.746350"," 9.855486"," 9.971744","10.105728"," 9.793407"
"C05526","12.72928","12.21820","12.38698","12.43466","13.02736","12.11296","13.11106","12.83448"
"C05551","12.98451","13.17606","13.05894","12.90574","13.48363","13.53761","13.27397","13.36814"
"C05635"," 9.552807"," 9.607821"," 9.585803"," 9.408922"," 9.930600","10.016763","10.150910","10.028578"
"C06121","10.387556"," 9.013237","10.081437"," 9.943502"," 9.700488"," 9.980605","10.461052","10.030778"
"C06525","11.08385","11.23626","11.08106","10.95748","11.45064","11.58599","11.38074","11.57087"
"C07005","10.017345"," 9.851313"," 9.624240"," 9.500199"," 0.826001"," 8.520954"," 6.931616"," 9.473027"
"C07471"," 9.872107"," 9.475969"," 9.543569"," 9.680853","10.470704","10.211966","10.475823"," 9.965958"
"C08261","11.52328","11.41894","11.29483","11.18120","11.79411","11.27526","12.00119","12.15988"
"C13916","5.083358","8.695087","8.587944","8.568283","5.190978","9.102099","8.134364","8.238947"
"C14550","9.613368","9.365696","9.545515","9.604384","9.439542","9.489312","9.203021","9.876130"
"C16633","14.28174","13.86576","14.11856","13.91110","11.59772","11.77685","14.23258","11.66163"
"C17925","10.518872","10.273616","10.320838","10.228151","10.506995"," 9.923562","10.329667","10.305530"
"C19434","8.245709","8.572954","8.038892","8.170006","8.700782","8.328324","8.721176","8.398856"
"C19463","9.020251","8.674851","8.616859","8.459307","8.838072","8.962292","8.950079","8.766032"
"C19670","10.040494"," 9.203188"," 9.785863"," 9.473377"," 9.682549","10.247520"," 9.937154"," 9.847772"
"C20387","10.523643","10.398806"," 9.994678","10.379976","11.136638"," 9.331008","10.714951","10.101860"
"C21484","13.567402","13.432109","13.502304","13.724541","13.589845","13.284196","13.360763"," 9.814535"
